BRANCHCODE;BRANCHINFO;INSTITUTIONNAME;PHYSICALADDRESS;COUNTRYNAME;SWIFTCODE;CITYNAME
014645;CASTLE WALK;STANDARD BANK;CASTLE WALK SHOPPING CENTRE SWAKOP STREET;SOUTH AFRICA;SBZAZAJJ;CASTLE WALK
014637;VEREENIGING;STANDARD BANK;CNR VOORTREKKER AND GREY STREET;SOUTH AFRICA;SBZAZAJJ;VEREENIGING
014737;VANDERBIJLPARK;STANDARD BANK;CIVIC CENTRE,PRESIDENT KRUGER STREET;SOUTH AFRICA;SBZAZAJJ;VANDERBIJLPARK
014845;GEZINA;STANDARD BANK;SHOP 9 MOTORCITY VOORTREKKER ROAD;SOUTH AFRICA;SBZAZAJJ;GEZINA
015137;LENASIA;STANDARD BANK;SHOP 37 , SIGNET TERRACE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;LENASIA
015345;PRETORIA CLEARING HOUSE;STANDARD BANK;2ND FLOOR SHOREBERG BLDG 429 CHURCH STREET;SOUTH AFRICA;SBZAZAJJ;PRETORIA CLEARING HOUSE
015545;OPS:RUSTENBURG ATM SERVICES;STANDARD BANK;CNR HEFER AND BEYERS NAUDE DRIVE;SOUTH AFRICA;SBZAZAJJ;OPS:RUSTENBURG ATM SERVICES
015645;IPS PRETORIA DAY 1 CENTRE;STANDARD BANK;CURATOR BUILDING;SOUTH AFRICA;SBZAZAJJ;IPS PRETORIA DAY 1 CENTRE
015745;SBV PRETORIA;STANDARD BANK;KINGSLEY CENTRE CNR PRETORIUS AND BEATRIX AVEN;SOUTH AFRICA;SBZAZAJJ;SBV PRETORIA
015742;JORISSEN POD CENTRE;STANDARD BANK;5 SIMMONDS 5TH FLOOR ENT1;SOUTH AFRICA;SBZAZAJJ;JORISSEN POD CENTRE
015842;IPS JOHANNESBURG DAY 1 CENTRE;STANDARD BANK;CENTRO BUILDING;SOUTH AFRICA;SBZAZAJJ;IPS JOHANNESBURG DAY 1 CENTRE
015841;KEY WEST;STANDARD BANK;SHOP 84, KEY WEST SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;KEY WEST
015942;OPS:CASH SUPPLY SERVICES;STANDARD BANK;ENTRANCE 1 , THIRD FLOOR , 5 SIMMONDS STREET;SOUTH AFRICA;SBZAZAJJ;OPS:CASH SUPPLY SERVICES
015937;SOUTHGATE;STANDARD BANK;SHOP 301 SOUTHGATE SHOPPING CENTRE CNR COLUMBI;SOUTH AFRICA;SBZAZAJJ;SOUTHGATE
015945;MONTANA;STANDARD BANK;UPPER LEVEL KOLLANADE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;MONTANA
016045;FCS EASTERN CAPE;STANDARD BANK;51 RIVERHORSE ROAD;SOUTH AFRICA;SBZAZAJJ;FCS EASTERN CAPE
016041;WESTONARIA;STANDARD BANK;79 EDWARDS AVENUE;SOUTH AFRICA;SBZAZAJJ;WESTONARIA
016042;SBV EASTERN CAPE;STANDARD BANK;51 RIVERHORSE ROAD;SOUTH AFRICA;SBZAZAJJ;SBV EASTERN CAPE
016145;WONDERPARK;STANDARD BANK;SHOP 208B WONDERPARK SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;WONDERPARK
016141;CARLETONVILLE;STANDARD BANK;CNR ANNAN ROAD AND GOLD STREET;SOUTH AFRICA;SBZAZAJJ;CARLETONVILLE
016245;KABOKWENI;STANDARD BANK;SHOP 7 KABOKWENI PLAZA;SOUTH AFRICA;SBZAZAJJ;KABOKWENI
016345;EMALAHLENI RELOCATING;STANDARD BANK;SHOP A001;SOUTH AFRICA;SBZAZAJJ;EMALAHLENI RELOCATING
016342;GREENSTONE;STANDARD BANK;SHOP L65 CNR MODDERFONTEIN AND VAN RIEBEECK AV;SOUTH AFRICA;SBZAZAJJ;GREENSTONE
016445;OPS:NELSPRUIT ATM SERVICES;STANDARD BANK;2ND FLOOR STANDARD BANK BUILDING, CNR R40 AND;SOUTH AFRICA;SBZAZAJJ;OPS:NELSPRUIT ATM SERVICES
016545;SBV BURGERSFORT LTT;STANDARD BANK;SBV BURGERSFORT LTT MERGE;SOUTH AFRICA;SBZAZAJJ;SBV BURGERSFORT LTT
016542;CIB: EASTERN GAUTENG;STANDARD BANK;MEADOWDALE VALUE CENTRE;SOUTH AFRICA;SBZAZAJJ;CIB: EASTERN GAUTENG
016645;OPS: WITBANK ATM SERVICES;STANDARD BANK;CNR MANDELA AND DELVILLE STREET;SOUTH AFRICA;SBZAZAJJ;OPS: WITBANK ATM SERVICES
016641;WESTGATE;STANDARD BANK;SHOP 160 ENTRANCE 3 WESTGATE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;WESTGATE
016741;LANSERIA;STANDARD BANK;LANSERIA AIRPORT;SOUTH AFRICA;SBZAZAJJ;LANSERIA
016745;MBOMBELA;STANDARD BANK;C/O NELSPRUIT CROSSING BRANCH;SOUTH AFRICA;SBZAZAJJ;MBOMBELA
017045;BARONGWA;STANDARD BANK;CNR. BOSCH AND NELSON MANDELA DRIVE;SOUTH AFRICA;SBZAZAJJ;BARONGWA
017445;MALL OF THE NORTH;STANDARD BANK;SHOP L1 AND L2;SOUTH AFRICA;SBZAZAJJ;MALL OF THE NORTH
017645;JUBILEE MALL;STANDARD BANK;JUBILEE MALL SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;JUBILEE MALL
017745;OPS: LOUIS TRICHARDT CASH SERV;STANDARD BANK;2267 UNIKA STREET;SOUTH AFRICA;SBZAZAJJ;OPS: LOUIS TRICHARDT CASH SERV
017845;RUSTENBURG WEST;STANDARD BANK;17 RUSTENBURG PLAZA;SOUTH AFRICA;SBZAZAJJ;RUSTENBURG WEST
018105;SANDTON CITY;STANDARD BANK;SANDTON CITY SHOPPING CENTRE CNR RIVONIA;SOUTH AFRICA;SBZAZAJJ;SANDTON CITY
018305;BEDFORD GARDENS;STANDARD BANK;2ND FLOOR BEDFORD GARDENS SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;BEDFORD GARDENS
018505;EASTGATE;STANDARD BANK;EASTGATE SHOPPING COMPLEX;SOUTH AFRICA;SBZAZAJJ;EASTGATE
020500;TELKOMSHARE;STANDARD BANK;OPENED 1ST TO FACILITATE DE BEERS CHEQUES NOW;SOUTH AFRICA;SBZAZAJJ;TELKOMSHARE
020909;THIBAULT SQUARE;STANDARD BANK;CNR LOWER LONG AND HANS STRYDOM STREET;SOUTH AFRICA;SBZAZAJJ;THIBAULT SQUARE
021409;OPS:CAPE TOWN ATM SERVICES;STANDARD BANK;HEERENGRACHT TOWER STANDARD BANK CENTRE;SOUTH AFRICA;SBZAZAJJ;OPS:CAPE TOWN ATM SERVICES
022209;BAYSIDE;STANDARD BANK;SHOP 66 BAYSIDE SHOPPING CENTRE BLOUBERG ROAD;SOUTH AFRICA;SBZAZAJJ;BAYSIDE
022909;CAPE TOWN CLEARING HOUSE;STANDARD BANK;;SOUTH AFRICA;SBZAZAJJ;CAPE TOWN CLEARING HOUSE
023110;V & A WATERFRONT;STANDARD BANK;SHOP 004, 1 BREAKWATER BOULEVARD;SOUTH AFRICA;SBZAZAJJ;V & A WATERFRONT
023310;IPS CAPE TOWN DAY 1 CENTRE;STANDARD BANK;10 OSWALD PIROW STREET;SOUTH AFRICA;SBZAZAJJ;IPS CAPE TOWN DAY 1 CENTRE
023910;CAPEGATE;STANDARD BANK;SHOP 40 CAPEGATE SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;CAPEGATE
024010;SBV GEORGE;STANDARD BANK;2 FABRIEK STREET;SOUTH AFRICA;SBZAZAJJ;SBV GEORGE
024109;SEA POINT;STANDARD BANK;220 MAIN ROAD;SOUTH AFRICA;SBZAZAJJ;SEA POINT
024210;BERRY'S CORNER BRANCH CLOSE;STANDARD BANK;BERRYS CORNER BRANCH MERGE WITH GREENACRES;SOUTH AFRICA;SBZAZAJJ;BERRY'S CORNER BRANCH CLOSE
024310;WALMER;STANDARD BANK;CNR MAIN ROAD AND 16TH AVENUE;SOUTH AFRICA;SBZAZAJJ;WALMER
024510;WR NON-METRO ATM SERVICES;STANDARD BANK;12TH FLOOR, TELKOM TOWERS;SOUTH AFRICA;SBZAZAJJ;WR NON-METRO ATM SERVICES
024610;NONQUBELA LINK;STANDARD BANK;NONQUBELA LINK MALL;SOUTH AFRICA;SBZAZAJJ;NONQUBELA LINK
024710;FCS WESTERN REGION;STANDARD BANK;NORTH TOWERS;SOUTH AFRICA;SBZAZAJJ;FCS WESTERN REGION
024909;MOWBRAY  BRANCH CLOSE;STANDARD BANK;MOWBRAY BRANCH MERGE;SOUTH AFRICA;SBZAZAJJ;MOWBRAY  BRANCH CLOSE
025009;RONDEBOSCH;STANDARD BANK;RIVERSIDE CENTER;SOUTH AFRICA;SBZAZAJJ;RONDEBOSCH
025109;CLAREMONT;STANDARD BANK;SHOP 178 - 182;SOUTH AFRICA;SBZAZAJJ;CLAREMONT
025309;CONSTANTIA;STANDARD BANK;SHOP 23A CONSTANIA COURTYARD MAIN ROAD;SOUTH AFRICA;SBZAZAJJ;CONSTANTIA
025609;BLUE ROUTE;STANDARD BANK;SHOP G20, BLUE ROUTE SHOPPING MALL;SOUTH AFRICA;SBZAZAJJ;BLUE ROUTE
025810;CAPE TOWN CASH SERVICES;STANDARD BANK;HEERENGRACHT TOWER STANDARD BANK CENTRE;SOUTH AFRICA;SBZAZAJJ;CAPE TOWN CASH SERVICES
025909;VANGATE MALL;STANDARD BANK;SHOP 1 VANGATE MALL WITHIN VANGATE PRECINCT;SOUTH AFRICA;SBZAZAJJ;VANGATE MALL
026209;KENILWORTH CENTRE;STANDARD BANK;KENILWORTH CENTRE CNR CHICHESTER AND DONCASTER;SOUTH AFRICA;SBZAZAJJ;KENILWORTH CENTRE
026509;MILNERTON;STANDARD BANK;SUITE 55 MILNER MALL;SOUTH AFRICA;SBZAZAJJ;MILNERTON
026609;PROMENADE;STANDARD BANK;SHOP 73-75 PROMENADE MALL SHOPPING CENTRE;SOUTH AFRICA;SBZAZAJJ;PROMENADE
028809;IPS CAPE TOWN DAY 2 CENTRE;STANDARD BANK;10 OSWALD PIROW STREET;SOUTH AFRICA;SBZAZAJJ;IPS CAPE TOWN DAY 2 CENTRE
031110;PAROW CENTRE;STANDARD BANK;SANLAM SHOPPING CENTER,CNR;SOUTH AFRICA;SBZAZAJJ;PAROW CENTRE
032610;BELLVILLE CASH SERVICES;STANDARD BANK;CNR STRAND STREET AND PETER BARLOW DRIVE;SOUTH AFRICA;SBZAZAJJ;BELLVILLE CASH SERVICES
032710;OPS:BELLVILLE ATM SERVICES;STANDARD BANK;CNR STRAND STREET AND PETER BARLOW DRIVE;SOUTH AFRICA;SBZAZAJJ;OPS:BELLVILLE ATM SERVICES
033012;HELDERBERG;STANDARD BANK;SHOP 1 TRIANGLE HOUSE VALUE RING ROAD;SOUTH AFRICA;SBZAZAJJ;HELDERBERG
035410;GOVAN MBEKI;STANDARD BANK;SHOP 01;SOUTH AFRICA;SBZAZAJJ;GOVAN MBEKI
036009;FISH HOEK BRANCH CLOSE;STANDARD BANK;FISH HOEK BRANCH MERGE WITH BLUE;SOUTH AFRICA;SBZAZAJJ;FISH HOEK BRANCH CLOSE
